Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index,Retracted_Papers,Retraction_Rate_%,Retractions_per_10k
1,United States,Northern America,17968858,15266318,617838810,243153029,34.38,3388,7416,0.04127140411483022,4.127140411483023
2,China,Asiatic Region,13093955,12824976,216481059,132545835,16.53,1595,37774,0.2884842662129204,28.848426621292038
3,United Kingdom,Western Europe,5414348,4408772,176516471,34553480,32.6,2183,2111,0.03898899738251032,3.898899738251032
4,Germany,Western Europe,4579330,4119750,134068585,27969588,29.28,1920,1554,0.03393509530870237,3.3935095308702365
5,Japan,Asiatic Region,3786488,3578817,82899340,18351843,21.89,1438,1872,0.04943895240127527,4.943895240127527
6,India,Asiatic Region,3746783,3335152,53153702,18758940,14.19,1001,6282,0.1676638332137196,16.76638332137196
7,France,Western Europe,3061665,2792844,90008914,15552400,29.4,1705,1128,0.03684269833570949,3.684269833570949
8,Italy,Western Europe,2885935,2568060,76815736,16019564,26.62,1505,1254,0.04345212210254216,4.345212210254216
9,Canada,Northern America,2735737,2394678,91665429,13460754,33.51,1764,967,0.035346965004311455,3.5346965004311452
10,Australia,Pacific Region,2291634,1975694,73963977,12233662,32.28,1584,951,0.041498773364333046,4.149877336433304
11,Spain,Western Europe,2257758,2052290,58430814,10763027,25.88,1388,778,0.03445896327241449,3.445896327241449
13,South Korea,Asiatic Region,1833781,1769733,40234865,6383822,21.94,1071,1524,0.08310697951391142,8.310697951391141
14,Brazil,Latin America,1633892,1529054,28905616,8072753,17.69,910,489,0.029928538728385964,2.9928538728385967
15,Netherlands,Western Europe,1512814,1335185,59680596,7359454,39.45,1574,507,0.03351370360136805,3.351370360136805
16,Switzerland,Western Europe,1130609,1012702,45174475,4768553,39.96,1458,343,0.030337632196453412,3.0337632196453415
