Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index,Retracted_Papers,Retraction_Rate_%,Retractions_per_10k,Rate_Rank
145,Tajikistan,Asiatic Region,4140,3971,44166,4539,10.67,85,53,1.280193236714976,128.01932367149757,1
168,Burundi,Africa,1672,1536,32182,1150,19.25,76,20,1.1961722488038278,119.61722488038278,2
136,Afghanistan,Asiatic Region,6043,5296,99360,5415,16.44,90,39,0.6453748138341884,64.53748138341884,3
82,Uzbekistan,Asiatic Region,49193,47389,365066,118039,7.42,158,290,0.5895147683613522,58.95147683613522,4
103,Malta,Western Europe,18347,14896,395160,23250,21.54,222,106,0.5777511309750913,57.775113097509134,5
64,Ethiopia,Africa,93482,88475,1609747,372871,17.22,289,536,0.5733724139406516,57.33724139406517,6
126,Kyrgyzstan,Asiatic Region,8799,7913,170361,8296,19.36,136,50,0.5682463916354131,56.82463916354131,7
142,Honduras,Latin America,4675,4347,75240,3819,16.09,103,23,0.4919786096256685,49.19786096256685,8
50,Iraq,Middle East,194802,189848,1737828,459621,8.92,268,910,0.4671409944456422,46.714099444564226,9
27,Saudi Arabia,Middle East,570368,545510,11704802,1909471,20.52,673,2508,0.4397161131059246,43.97161131059246,10
106,Yemen,Middle East,15558,14886,298977,25731,19.22,157,67,0.43064661267515103,43.064661267515106,11
39,Pakistan,Asiatic Region,417784,389712,7534065,1567311,18.03,529,1593,0.38129751259023803,38.129751259023806,12
144,Niger,Africa,4249,3969,96906,6120,22.81,120,16,0.37655919039774066,37.65591903977406,13
140,Gabon,Africa,4903,4605,134014,10851,27.33,141,17,0.34672649398327554,34.67264939832755,14
101,Bahrain,Middle East,20339,17422,309242,16810,15.2,165,67,0.32941639215300655,32.941639215300654,15
176,Maldives,Asiatic Region,1326,1130,18321,1391,13.82,58,4,0.301659125188537,30.1659125188537,16
2,China,Asiatic Region,13093955,12824976,216481059,132545835,16.53,1595,37774,0.2884842662129204,28.848426621292038,17
173,Chad,Africa,1485,1422,24296,1495,16.36,66,4,0.26936026936026936,26.936026936026938,18
38,Egypt,Africa/Middle East,483017,461751,8679630,1734252,17.97,496,1293,0.2676924414668635,26.769244146686347,19
67,Kazakhstan,Asiatic Region,76497,73331,664825,135617,8.69,213,202,0.26406264297946325,26.406264297946322,20
98,Sudan,Africa,21498,19879,370168,26985,17.22,174,56,0.2604893478463113,26.04893478463113,21
102,Senegal,Africa,19032,17478,328618,29766,17.27,179,49,0.2574611181168558,25.74611181168558,22
180,Bermuda,Latin America,1241,1111,70990,3110,57.2,123,3,0.24174053182917005,24.174053182917003,23
59,Bangladesh,Asiatic Region,147613,136208,2612661,433105,17.7,386,345,0.23371925236937127,23.371925236937127,24
