Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index,Retracted_Papers,Retraction_Rate_%,Retractions_per_10k
1,United States,Northern America,17968858,15266318,617838810,243153029,34.38,3388,7416,0.04127140411483022,4.127140411483023
2,China,Asiatic Region,13093955,12824976,216481059,132545835,16.53,1595,37774,0.2884842662129204,28.848426621292038
3,United Kingdom,Western Europe,5414348,4408772,176516471,34553480,32.6,2183,2111,0.03898899738251032,3.898899738251032
4,Germany,Western Europe,4579330,4119750,134068585,27969588,29.28,1920,1554,0.03393509530870237,3.3935095308702365
5,Japan,Asiatic Region,3786488,3578817,82899340,18351843,21.89,1438,1872,0.04943895240127527,4.943895240127527
6,India,Asiatic Region,3746783,3335152,53153702,18758940,14.19,1001,6282,0.1676638332137196,16.76638332137196
7,France,Western Europe,3061665,2792844,90008914,15552400,29.4,1705,1128,0.03684269833570949,3.684269833570949
8,Italy,Western Europe,2885935,2568060,76815736,16019564,26.62,1505,1254,0.04345212210254216,4.345212210254216
9,Canada,Northern America,2735737,2394678,91665429,13460754,33.51,1764,967,0.035346965004311455,3.5346965004311452
10,Australia,Pacific Region,2291634,1975694,73963977,12233662,32.28,1584,951,0.041498773364333046,4.149877336433304
11,Spain,Western Europe,2257758,2052290,58430814,10763027,25.88,1388,778,0.03445896327241449,3.445896327241449
13,South Korea,Asiatic Region,1833781,1769733,40234865,6383822,21.94,1071,1524,0.08310697951391142,8.310697951391141
14,Brazil,Latin America,1633892,1529054,28905616,8072753,17.69,910,489,0.029928538728385964,2.9928538728385967
15,Netherlands,Western Europe,1512814,1335185,59680596,7359454,39.45,1574,507,0.03351370360136805,3.351370360136805
16,Switzerland,Western Europe,1130609,1012702,45174475,4768553,39.96,1458,343,0.030337632196453412,3.0337632196453415
17,Turkey,Middle East,1110204,1020574,17590307,3351101,15.84,694,848,0.07638235855752637,7.638235855752637
18,Poland,Eastern Europe,1105845,1037818,18121124,3640067,16.39,842,350,0.03165000519964371,3.165000519964371
19,Iran,Middle East,1048270,1010677,18408421,4861823,17.56,594,2140,0.20414587844734658,20.41458784473466
20,Sweden,Western Europe,1019716,923872,37204577,4369139,36.49,1306,332,0.03255808480008159,3.255808480008159
21,Taiwan,Asiatic Region,977147,933778,20811730,2922692,21.3,784,765,0.07828914175656272,7.828914175656272
22,Belgium,Western Europe,832555,746747,28780548,2909095,34.57,1207,212,0.025463783173484033,2.5463783173484034
23,Denmark,Western Europe,650511,581571,25075532,2713548,38.55,1147,197,0.030283884515404043,3.0283884515404043
24,Austria,Western Europe,633632,565319,19415580,1959270,30.64,998,119,0.018780617140548458,1.878061714054846
25,Malaysia,Asiatic Region,614709,576613,10113105,1824288,16.45,615,1003,0.16316663657112554,16.316663657112553
26,Israel,Middle East,573266,513402,18859268,2011355,32.9,1019,169,0.029480206396332594,2.9480206396332593
27,Saudi Arabia,Middle East,570368,545510,11704802,1909471,20.52,673,2508,0.4397161131059246,43.97161131059246
28,Portugal,Western Europe,568757,509013,13632162,1849131,23.97,794,163,0.028658987933335326,2.8658987933335327
29,Mexico,Latin America,558931,514436,10021390,1687822,17.93,684,159,0.028447160740771225,2.8447160740771222
30,Hong Kong,Asiatic Region,548556,505222,18256588,1693492,33.28,935,132,0.02406317677684685,2.406317677684685
31,South Africa,Africa,533957,467270,11500529,2022929,21.54,761,304,0.056933423477920506,5.693342347792051
32,Norway,Western Europe,533232,471325,16880841,1969653,31.66,953,185,0.034694091877456715,3.4694091877456716
33,Czech Republic,Eastern Europe,527808,500410,9782686,1561985,18.53,715,184,0.03486116163453377,3.486116163453377
34,Finland,Western Europe,526762,477069,17373941,1987379,32.98,950,125,0.023729881806204698,2.37298818062047
35,Indonesia,Asiatic Region,522771,506360,3796851,1158783,7.26,381,261,0.04992625834256299,4.9926258342563
36,Greece,Western Europe,511712,453895,12911378,1555155,25.23,775,249,0.04866018385341755,4.866018385341755
37,Singapore,Asiatic Region,501922,453241,16980424,1356514,33.83,936,241,0.04801542869210754,4.801542869210754
38,Egypt,Africa/Middle East,483017,461751,8679630,1734252,17.97,496,1293,0.2676924414668635,26.769244146686347
39,Pakistan,Asiatic Region,417784,389712,7534065,1567311,18.03,529,1593,0.38129751259023803,38.129751259023806
40,New Zealand,Pacific Region,385331,332409,11993285,1296891,31.12,802,111,0.02880640280693741,2.8806402806937412
41,Thailand,Asiatic Region,374005,353080,6482540,935364,17.33,520,343,0.09171000387695351,9.17100038769535
42,Ireland,Western Europe,360809,307355,10785679,912241,29.89,812,162,0.044899101740810236,4.489910174081023
43,Ukraine,Eastern Europe,357473,344560,3139218,922921,8.78,405,107,0.02993233055363622,2.993233055363622
44,Romania,Eastern Europe,346715,327134,4586840,748409,13.23,497,222,0.06402953434376937,6.402953434376938
45,Argentina,Latin America,335720,309026,7372776,1212986,21.96,646,77,0.022935779816513763,2.293577981651376
46,Hungary,Eastern Europe,307547,285660,6988958,854113,22.72,672,106,0.03446627669917118,3.446627669917118
47,Chile,Latin America,291720,272535,6268433,1023135,21.49,597,69,0.02365281777046483,2.3652817770464827
48,Colombia,Latin America,228994,212895,3454885,481496,15.09,472,115,0.05021965641021162,5.021965641021162
49,Nigeria,Africa,222607,201021,3021370,575055,13.57,378,237,0.10646565471885429,10.64656547188543
50,Iraq,Middle East,194802,189848,1737828,459621,8.92,268,910,0.4671409944456422,46.714099444564226
52,Slovakia,Eastern Europe,184464,176146,2767052,424535,15.0,405,52,0.028189782288142944,2.818978228814294
53,Croatia,Eastern Europe,178266,166720,2792923,377647,15.67,448,58,0.032535648974005134,3.253564897400514
54,United Arab Emirates,Middle East,174668,157215,3077416,294373,17.62,421,212,0.12137311928916573,12.137311928916573
55,Serbia,Eastern Europe,165840,154435,2719583,384230,16.4,411,167,0.1006994693680656,10.069946936806561
56,Morocco,Africa,160851,149543,2063485,448058,12.83,313,81,0.05035716284014398,5.035716284014398
57,Tunisia,Africa,157648,148332,2345578,364095,14.88,317,163,0.10339490510504416,10.339490510504415
58,Slovenia,Eastern Europe,155065,144285,3368655,386244,21.72,470,21,0.013542707896688485,1.3542707896688484
59,Bangladesh,Asiatic Region,147613,136208,2612661,433105,17.7,386,345,0.23371925236937127,23.371925236937127
60,Algeria,Africa,144245,139561,1826114,360575,12.66,285,105,0.07279281777531284,7.279281777531284
61,Bulgaria,Eastern Europe,137261,130058,2093629,253914,15.25,394,19,0.01384224215181297,1.384224215181297
