Journal,Retraction_Count
Journal of Intelligent & Fuzzy Systems,1607
PLoS One,1490
2011 International Conference on E-Business and E-Government (ICEE),1280
2011 5th International Conference on Bioinformatics and Biomedical Engineering,1084
Journal of Healthcare Engineering,1074
Computational and Mathematical Methods in Medicine,1067
Computational Intelligence and Neuroscience,1030
BioMed Research International,955
Security and Communication Networks,949
Journal of Physics: Conference Series,878
