Year,Global_Retractions,BD_Retractions,BD_Share_of_Global_%
2000,43,0,0.0
2001,40,0,0.0
2002,127,0,0.0
2003,101,0,0.0
2004,145,0,0.0
2005,149,0,0.0
2006,227,0,0.0
2007,342,1,0.29239766081871343
2008,466,0,0.0
2009,1209,0,0.0
2010,5045,0,0.0
2011,4972,1,0.02011263073209976
2012,1237,3,0.2425222312045271
2013,1513,2,0.13218770654329146
2014,1195,2,0.16736401673640167
2015,1756,6,0.3416856492027335
2016,1924,4,0.2079002079002079
2017,1903,2,0.10509721492380451
2018,2825,6,0.21238938053097348
2019,3235,16,0.4945904173106646
2020,3649,12,0.3288572211564812
2021,5133,9,0.17533606078316774
2022,6449,14,0.21708792060784618
2023,13545,95,0.7013658176448875
2024,6569,70,1.0656112041406607
2025,5882,78,1.3260795647738866
2026,1189,27,2.2708158116063917
